MIB;Medieninformatik;BACHELOR;DM
OMB;Online Medien;BACHELOR;DM
MKB;Medienkonzeption;BACHELOR;DM
MUM;Music Design;MASTER;DM
DIM;Design Interaktiver Medien;MASTER;DM
MIM;Medieninformatik;MASTER;DM
AGW;Angewandte Gesundheitswissenschaften;BACHELOR;GSG
HW;Hebammenwissenschaft;BACHELOR;GSG
PT;Physiotherapie;BACHELOR;GSG
SSB;Security and Safety Engineering;BACHELOR;GSG
AGF;Angewandte Gesundheitsförderung;MASTER;GSG
IGF;Interdisziplinäre Gesundheitsförderung;MASTER;GSG
RIW;Risikoingenieurwesen;MASTER;GSG
AIN;Allgemeine Informatik;BACHELOR;IN
ITP;IT-Produktmanagement;BACHELOR;IN
SPB;Software Produktmanagement;BACHELOR;IN
INM;Informatik;MASTER;IN
MOS;Mobile Systeme;MASTER;IN
OT;Studienmodell Orientierung Technik;BACHELOR;ITE
IMT;Industrial MedTec;BACHELOR;ITE
IAM;Industrial Automation and Mechatronics;BACHELOR;ITE
ISD;Industrial Systems Design;BACHELOR;ITE
IMF;Industrial Manufactoring;BACHELOR;ITE
IME;Industrial Materials Engineering;BACHELOR;ITE
IP;Ingenieurpsychologie;BACHELOR;ITE
MDP;Mechatronik und Digitale Produktion;BACHELOR;ITE
MTE;Medizintechnik - Technologien und Entwicklungsprozesse;BACHELOR;ITE
WFT;Werkstoff- und Fertigungstechnik;BACHELOR;ITE
AMW;Angewandte Materialwissenschaften;MASTER;ITE
HF;Human Factors;MASTER;ITE
MES;Mechatronische Systeme;MASTER;ITE
ANB;Angewandte Biologie;BACHELOR;MLS
BPT;Bio- und Prozesstechnologie;BACHELOR;MLS
MTZ;Molekulare und Technische Medizin;BACHELOR;MLS
NBT;Nachhaltige Bioprozesstechnik;MASTER;MLS
MDT;Medical Diagnostic Technologies;MASTER;MLS
PMD;Precision Medicine Diagnostics;MASTER;MLS
TP;Technical Physician;MASTER;MLS
ELA;Elektrotechnik in Anwendung;BACHELOR;MME
MM;Maschinenbau und Mechatronik;BACHELOR;MME
MEB;Medical Engineering;BACHELOR;MME
MKT;Medizintechnik - Klinische Technologien;BACHELOR;MME
ICS;Information Communication Systems;BACHELOR;MME
APE;Advanced Precision Engineering;MASTER;MME
BME;Biomedical Engineering;MASTER;MME
MZT;Mikromedizin;MASTER;MME
PMM;Precision Manufactoring and Management;MASTER;MME
SMA;Smart Systems;MASTER;MME
BMP;Business Management and Psychology;BACHELOR;W
IBW;Internationale Betriebswirtschaft;BACHELOR;W
IBM;International Business Management;BACHELOR;W
IMM;International Management;MASTER;W
MBA;International Business Management;MASTER;W
IEB;International Engineering;BACHELOR;MME,W
IBS;International Business Information Systems;BACHELOR;WI
WIB;Wirtschaftsinformatik;BACHELOR;WI
WNB;Wirtschaftsnetze eBusiness;BACHELOR;WI
BAM;Business Application Architecture;MASTER;WI
BCM;Business Consulting;MASTER;WI
WIS;Industrial Solutions Management;BACHELOR;WING
SMB;Service Management;BACHELOR;WING
MVB;Marketing und Vertrieb;BACHELOR;WING
PEB;Product Engineering;BACHELOR;WING
WPI;Product Innovation;MASTER;WING
SEM;Sales & Service Engineering;MASTER;WING